ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (g)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default"
10600,simple,DR59,"Black Floral Printed High-Rise Wide Leg",1,0,visible,,,,,taxable,,1,500,,1,0,450,15,10,5,1,,499,999,"New Dresses",,,"https://zevaara.com/wp-content/uploads/2022/10/8-c_0dbba9c3-01fd-4acd-af5c-9e21d8d97c70.jpg, https://zevaara.com/wp-content/uploads/2022/10/3_eed690a3-224c-43f7-b2ca-a1fc9cbb7ab6.jpg, https://zevaara.com/wp-content/uploads/2022/10/8-c_0dbba9c3-01fd-4acd-af5c-9e21d8d97c70.jpg",,,,,,,,,0,,,,,
10601,variable,DR00121,"Black Floral Printed High-Rise Wide Leg",1,0,visible,,"<strong>PRODUCT DETAILS</strong>",,,taxable,,1,300,5,1,0,450,15,10,5,1,,,,"New Dresses","cc, ccsvdv, xv",,"https://zevaara.com/wp-content/uploads/2022/10/3_26e28d24-4987-4ac4-bfd6-b9e7174b6f4c.jpg, https://zevaara.com/wp-content/uploads/2022/10/1_5e2b13b7-2c1c-401a-a7cf-86ed4ec1d674.jpg",,,,,,,,,0,SIZE,"S, M, L, XL",1,0,S
10602,variation,,"Black Floral Printed High-Rise Wide Leg - S",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,399,999,,,,https://zevaara.com/wp-content/uploads/2022/10/8-c_cdeb3978-c3eb-4faa-bf03-6dce38ee823a.jpg,,,DR00121,,,,,,1,SIZE,S,,0,
10603,variation,,"Black Floral Printed High-Rise Wide Leg - M",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,599,1199,,,,https://zevaara.com/wp-content/uploads/2022/10/8-c_a1657f89-8009-4e76-b29f-c5387a635561.jpg,,,DR00121,,,,,,2,SIZE,M,,0,
10604,variation,,"Black Floral Printed High-Rise Wide Leg - L",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,899,1399,,,,https://zevaara.com/wp-content/uploads/2022/10/5_d7c32ded-cfd1-41a8-83c7-a1fab6b51a72.jpg,,,DR00121,,,,,,3,SIZE,L,,0,
10605,variation,,"Black Floral Printed High-Rise Wide Leg - XL",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,1199,1899,,,,https://zevaara.com/wp-content/uploads/2022/10/a7e3a011_2_388ddcaf-05de-46de-8f60-e8e3e2a1e82c.jpg,,,DR00121,,,,,,4,SIZE,XL,,0,
