"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Low stock amount","Backorders allowed?","Sold individually?","Weight (g)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Minimum Quantity","Maximum Quantity","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 3 default"
"9","variation","ANSHU_002_XL","Floral Print Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","999","","","","150","","","","","","799","1599","","","","","","","ANSHU_002_S","","","","","","","","","Size","XL","","0","","","","","","","","","","",""
"10","variation","ANSHU_002_XXL","Floral Print Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","999","","","","150","","","","","","799","1599","","","","","","","ANSHU_002_S","","","","","","","","","Size","2XL","","0","","","","","","","","","","",""
"17ff3c80-fa83-11eb-b82a-87377d6216c0","variable","ANSHU_003_S","Mandala Print Ajrakh Handblock Shirt","1","","visible","","<meta charset=""utf-8""><meta charset=""utf-8"">
<p><span style=""color: #444444;"">For size guide click <a href=""https://Pinstitch.in/pages/size-chart"">here</a>.Â </span></p>
<p><span style=""color: #444444;"" mce-data-marked=""1"">Exquisitely crafted by the expert artisans of Kutch, this intricate ajrakh shirt is the perfect festive wear.Â </span></p>
<p><span style=""color: #444444;"">Fabric: Cotton</span><br><span style=""color: #444444;"">Color: Navy Blue</span><br><span style=""color: #444444;"">Fit: Regular</span><br><span style=""color: #444444;"">Sleeve: Full Sleeve</span><br><span style=""color: #444444;"">Collar:Â Mandarin</span><br><span style=""color: #444444;"">Pattern: Ajrakh Handblock</span><br><span style=""color: #444444;"">Buttons: WoodenÂ </span></p>
<p><strong>Know your Fabric</strong></p>
<p><span style=""font-weight: 400;"">Ajrakhâ€™s name is derived from 'azarak' meaning 'blue' in Arabic. It finds it origin from the Sindh region in India and was introduced in the Mughal period. It is a block-printed textile that is made using natural dyes namely indigo (blue) and madder (red), though now many colors are used. Â An Ajrakh print is identified by its complex geometric and floral patterns. A remarkable feature of Ajrakh print is that on a single fabric, resist printing along with other printing and dyeing techniques are used in combination. The whole process is repeated on both sides of the fabric in perfect cohesion which calls for unsurpassed skill. Ajrakh uses mud-resist in the various stages and another unique feature is that the dyeing and printing is repeated twice on the fabric to ensure brilliance of colour. Superimposing the repeats is done perfectly thus revealing a sense of detail in every motif designed.</span></p>
<p><span style=""font-weight: 400;"" mce-data-marked=""1"">Fabric Care: Handwash separately.</span></p>","","","taxable","","1","","","","","150","","","","1","","","","","Most Popular","","http://shopify.test/storage/1/images/17ff3c80-fa83-11eb-b82a-87377d6216c0/16286727025151.png","","","ANSHU_003_S","","","","","","","","","Size","S, M, L, XL, 2XL","1","0","S","","","","","","","","","",""
"11","variation","ANSHU_003_S","Mandala Print Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","948","","","","150","","","","","","799","1599","","","","","","","ANSHU_003_S","","","","","","","","","Size","S","","0","","","","","","","","","","",""
"12","variation","ANSHU_003_M","Mandala Print Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","992","","","","150","","","","","","799","1599","","","","","","","ANSHU_003_S","","","","","","","","","Size","M","","0","","","","","","","","","","",""
"13","variation","ANSHU_003_L","Mandala Print Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","990","","","","150","","","","","","799","1599","","","","","","","ANSHU_003_S","","","","","","","","","Size","L","","0","","","","","","","","","","",""
"14","variation","ANSHU_003_XL","Mandala Print Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","991","","","","150","","","","","","799","1599","","","","","","","ANSHU_003_S","","","","","","","","","Size","XL","","0","","","","","","","","","","",""
"15","variation","ANSHU_003_XXL","Mandala Print Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","997","","","","150","","","","","","799","1599","","","","","","","ANSHU_003_S","","","","","","","","","Size","2XL","","0","","","","","","","","","","",""
"18161df0-fa83-11eb-b62f-0b75cf21a019","variable","ANSHU_004_S","Diamond Print Ajrakh Handblock Shirt","1","","visible","","<meta charset=""utf-8""><meta charset=""utf-8"">
<p><span style=""color: #444444;"">For size guide click <a href=""https://Pinstitch.in/pages/size-chart"">here</a>.Â </span></p>
<p><span style=""color: #444444;"" mce-data-marked=""1"">Exquisitely crafted by the expert artisans of Kutch, this intricate ajrakh shirt is the perfect festive wear.Â </span></p>
<p><span style=""color: #444444;"">Fabric: Cotton</span><br><span style=""color: #444444;"">Color: Navy Blue</span><br><span style=""color: #444444;"">Fit: Regular</span><br><span style=""color: #444444;"">Sleeve: Full Sleeve</span><br><span style=""color: #444444;"">Collar: Regular</span><br><span style=""color: #444444;"">Pattern: Ajrakh Handblock</span><br><span style=""color: #444444;"">Buttons: WoodenÂ </span></p>
<p><strong>Know your Fabric</strong></p>
<p><span style=""font-weight: 400;"">Ajrakhâ€™s name is derived from 'azarak' meaning 'blue' in Arabic. It finds it origin from the Sindh region in India and was introduced in the Mughal period. It is a block-printed textile that is made using natural dyes namely indigo (blue) and madder (red), though now many colors are used. Â An Ajrakh print is identified by its complex geometric and floral patterns. A remarkable feature of Ajrakh print is that on a single fabric, resist printing along with other printing and dyeing techniques are used in combination. The whole process is repeated on both sides of the fabric in perfect cohesion which calls for unsurpassed skill. Ajrakh uses mud-resist in the various stages and another unique feature is that the dyeing and printing is repeated twice on the fabric to ensure brilliance of colour. Superimposing the repeats is done perfectly thus revealing a sense of detail in every motif designed.</span></p>
<p><span style=""font-weight: 400;"" mce-data-marked=""1"">Fabric Care: Handwash separately.</span></p>","","","taxable","","1","","","","","150","","","","1","","","","","Most Popular","","http://shopify.test/storage/1/images/18161df0-fa83-11eb-b62f-0b75cf21a019/16286727021465.png","","","ANSHU_004_S","","","","","","","","","Size","S, M, L, XL, 2XL","1","0","S","","","","","","","","","",""
"16","variation","ANSHU_004_S","Diamond Print Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","990","","","","150","","","","","","799","1599","","","","","","","ANSHU_004_S","","","","","","","","","Size","S","","0","","","","","","","","","","",""
